ID,INSTRUCTION,INPUT,OUTPUT
23367,,"3, 7, 5, 9","3, 5, 7, 9"
23407,,x + y = 10,
23451,,,4 + x = 15
23463,,,11
23475,,,"0, 1, 1, 2, 3, 5, 8, 13, 21, 34."
23477,,,"if i == 0:
    z = 1 - y
    if z < 0:
        x = 3
    else:
        x = 4"
23508,,,A+
23525,,,"string_length = 0

for char in string:
    string_length += 1

print(string_length)"
23574,,"[2, 5, 8, 15, 7]",2 + 5 + 8 + 15 + 7 = 37
23585,,,10 + 6 * 7 - 58 = 48
23586,,"[40, 33, 21, 92, 3, 68, 10]","[3, 10, 21, 33, 40, 68, 92]"
23590,,2x + 4y + 5z = 7,"2x + 4y + 5z = 7

2x + 4y + 5z = 7

2(x + 2y + 2.5z) = 7

2(x + 2y + 2.5z) = 14

x + 2y + 2.5z = 7"
23593,,,0.101 + 0.217 = 0.318
23598,,,1/2.
23602,,"7, 8, 4, 3, 9, 11","3, 4, 7, 8, 9, 11"
23607,,,"11, 8, 5, 1."
23658,,,14.72 m/s
23668,,,5 + (4 x 10) = 45.
23686,,"8, 2, *",16
23698,,,x+8=y
23703,,,"def larger_of_two_args(arg1, arg2):
    if arg1 > arg2:
        return arg1
    else:
        return arg2"
23706,,,"def is_anagram(str1, str2):
    char_map1 = {}
    for char in str1:
        if char in char_map1:
            char_map1[char] += 1
        else:
            char_map1[char] = 1

    char_map2 = {}
    for char in str2:
        if char in char_map2:
            char_map2[char] += 1
        else:
            char_map2[char] = 1

    if char_map1 != char_map2:
        return False
    else:
        return True"
23707,,"[3,7,2,4,9]",
23766,,,"1. 8 x 1 = 8
2. 8 x 2 = 16
3. 8 x 3 = 24
4. 8 x 4 = 32
5. 8 x 5 = 40
6. 8 x 6 = 48
7. 8 x 7 = 56
8. 8 x 8 = 64
9. 8 x 9 = 72
10. 8 x 10 = 80"
23774,,,"public static int factorial(int n) {
    if (n < 0) {
        return -1;
    }
    int result = 1;
    while (n > 0) {
        result = result * n;
        n = n - 1;
    }
    return result;
}"
23782,,,(x - 1)2 + (y + 2)2 = 25
23785,,,"1, 2, 3, 4, 5, 6, 7, 8, 9"
23786,,,"data_struct = [
    {'name': 'John', 'age': 25, 'height': 180.5}, 
    {'name': 'Alice', 'age': 27, 'height': 165.5}
]"
23788,,,14
23809,,,"4, 6, 3, 10, 0, 9, 2, 5, 7, 1"
23878,,,17 + 18 = 35
23926,,,W3C
23985,,"2, 15, 3, 6, 7",15
24007,,"[3, 4, 9, 11]",27
24043,,210,
24096,,"def sumArray(arr): 
    sum = 0
    for i in range(0, len(arr)): 
        sum = sum + arr[i] 
    return sum","def sumArray(arr): 
    total = 0
    for num in arr: 
        total += num 
    return total"
24172,,,"""""""
Calculate the average of five numbers
""""""

def calculate_average(numbers):
    average = sum(numbers) / len(numbers)
    return average

if __name__ == '__main__':
    numbers = [3, 6, 9, 12, 15]
    average = calculate_average(numbers)
    print(f'The average of {numbers} is {average}.')"
24173,,,"""""""
Return a string of the first 100 Fibonacci numbers
""""""

def fibonacci_sequence(limit):
    fibonacci = [1, 1]
    i = 2
    while i < limit:
        fibonacci.append(fibonacci[i - 1] + fibonacci[i - 2])
        i += 1
    return ' '.join(map(str, fibonacci))

if __name__ == '__main__':
    print(fibonacci_sequence(100))"
24177,,,"""""""
Send a reminder email
""""""

import smtplib

def send_reminder_email(target_date, subject, message):
    # Set up email server
    server = smtplib.SMTP('smtp.gmail.com', 587)
    server.ehlo()
    server.starttls()
    server.login('<username>', '<password>')

    # Create reminder email
    sender = '<sender@example.com>'
    receivers = ['<receiver@example.com>']
    body = f'Subject: {subject}\n\n{message}'
    server.sendmail(sender, receivers, body)

    # Schedule a reminder to be sent on the target date
    server.schedule_reminder(target_date, sender, receivers, body)

    # Close the connection to the email server
    server.quit()

if __name__ == '__main__':
    target_date = 'August 15, 2022'
    subject = 'Greeting Message'
    message = 'Happy Birthday!'
    send_reminder_email(target_date, subject, message)"
24184,,,"function reverseString(str) {
    let reversedString = '';
    str.split('').forEach(char => reversedString = char + reversedString);
    return reversedString;
}"
24187,,,".flex-container {
    display: flex;
    flex-direction: row; 
    flex-wrap: wrap;
    justify-content: center; 
    align-items: center;
}"
24205,,,"function getIndex(arr, num) 
  idx := 0
  while (idx < arr.length && arr[idx] < num) 
    idx := idx + 1
  return idx"
24254,,"[1, 2, 3, 4, 5]",
24303,,"1, 2, 3, 4","for i in range(1,5): 
    print(i)"
24337,,"3x + 5y = 1
6x + 4y = 2","x = -7/11, y = 8/11"
24378,,,"function findMean(array) {
  let sum = 0;
  for (let i=0; i<array.length; i++) {
    sum += array[i];
  }
  return sum/array.length;
}"
24389,,,"import random
import string

def generate_password():
    chars = string.ascii_letters + string.digits + string.punctuation
    return ''.join(random.choices(chars, k=8))

print(generate_password())"
24392,,,"def multiply_matrices(A, B):
    result = [[0, 0, 0],
              [0, 0, 0],
              [0, 0, 0]]

    for i in range(len(A)):
        for j in range(len(B[0])):
            for k in range(len(B)):
                result[i][j] += A[i][k] * B[k][j]
    return result"
24393,,,"Dictionary structure:
{
    'Name': 'Jack',
    'Age': 21,
    'Occupation': 'student',
    'Location': 'New York' 
}"
24409,,2 (3 + 5),16
24422,,,9
24447,,"[1, 2, 3, 4, 5, 6, 7, 8]","# Print the first 5 elements of a given list 
my_list = [1, 2, 3, 4, 5, 6, 7, 8]
 
# Using a for loop 
for i in range(5):
    print(my_list[i])

# Using list slicing
print(my_list[:5])"
24486,,,12 + 4 = 16
24497,,,A
24500,,,28.27 m2
24537,,,018
24572,,,3 x 4 + 0 x (2+ 4) = 36
24573,,"7, 8",15
24609,,"10, 20, 15",
24660,,,"import java.time.LocalDateTime;
 
public class DateTimeExample {
   public static void main(String[] args) {
      LocalDateTime currentTime = LocalDateTime.now();
      System.out.println(currentTime);
   }
}"
24672,,,B
24679,,"def my_function(x, y):
    return x + y
z = my_function(2, 3)",z = 5
24691,,1989,
24739,,"[4, 5]",
24754,,,"2x + 3y - z + w = 5
3x + y - 2z - w = 7
x + 4y + 3z -2w = -1"
24759,,,3.425
24768,,,30
24782,,,"char_freq = {}

for char in 'Hello world!':
  if char in char_freq:
    char_freq[char] += 1
  else:
    char_freq[char] = 1

print(char_freq)"
24800,,"2, 3, 5, 4, 1",
24839,,,4523
24876,,,1
24880,,,14
24891,,,"def fibonacci(n): 
  result = [0, 1] 
  for i in range(2, n): 
    result.append(result[i-1] + result[i-2]) 
  return result[:n]"
24946,,"[1,2,3,4,5]","def sum_array(arr): 
  total = 0
  for x in arr: 
    total += x 
  return total"
24965,,,U5a6m7Q2
25035,,(7x + 7)/(3x + 4) = 5,
25048,,,"algorithm SelectionSort(A : list of sortable items)
  // ... set input parameter
  n = length(A)    // ... calculate array size
 
  for i = 1 to n - 1
    // ... loop over items
    min = i
 
    for j = i + 1 to n
      // ... find minimum item
      if A[j] < A[min]
        min = j
    end for
 
    // ... swap minimum item
    if i != min
      swap(A[i], A[min])
    end if
 
  end for

end SelectionSort"
25061,,,"def isCapital(char):
    if ord(char) >= 65 and ord(char) <= 90:
        return True
    else:
        return False"
25077,,,B) 1998
25078,,"4 x 5 =
A) 10
B) 20
C) 30
D) 40",D) 40
25149,,,"public static boolean containsDuplicates(int[] arr) {
    
    Set<Integer> set = new HashSet<Integers>();
    for(int i : arr) {
        if(set.contains(arr[i])) {
            return true;
        } else {
            set.add(i);
        }
    }
    return false;
}"
25151,,,x + y = 6 + 3 = 9.
25154,,,"def evaluate_expression(expression): 
      
    # a stack to store integer values 
    values = [] 
  
    # a stack to store operators. 
    ops = [] 
    i = 0
      
    while i < len(expression): 
          
        # Current token is a whitespace, 
        # skip it. 
        if expression[i] == ' ': 
            i += 1
            continue
              
        # Current token is an opening  
        # brace, push it to 'ops' 
        elif expression[i] == '(': 
            ops.append(expression[i]) 
              
        # Current token is a number, push  
        # it to stack for numbers. 
        elif expression[i].isdigit(): 
            val = 0
              
            # There may be more than one 
            # digits in the number. 
            while (i < len(expression) and
                expression[i].isdigit()): 
                  
                val = (val * 10) + int(expression[i]) 
                i += 1
                  
            values.append(val) 
  
        # Closing brace encountered, solve  
        # entire brace. 
        elif expression[i] == ')': 
              
            while len(ops) != 0 and ops[-1] != '(': 
                  
                val2 = values.pop() 
                val1 = values.pop() 
                op = ops.pop() 
                  
                values.append(performOp(val1, val2, op)) 
              
            # pop opening brace. 
            ops.pop() 
              
        # Current token is an operator. 
        else: 
              
            # While top of 'ops' has same or  
            # greater precedence to current 
            # token, which is an operator. 
            # Apply operator on top of 'ops'  
            # to top two elements in values stack. 
            while (len(ops) != 0 and
                precedence(ops[-1]) >= precedence(expression[i])): 
                  
                val2 = values.pop() 
                val1 = values.pop() 
                op = ops.pop() 
                  
                values.append(performOp(val1, val2, op)) 
                  
            # Push current token to 'ops'. 
            ops.append(expression[i]) 
          
        i += 1
          
     # Entire expression has been parsed at this  
    # point, apply remaining ops to remaining 
    # values. 
    while len(ops) != 0: 
          
        val2 = values.pop() 
        val1 = values.pop() 
        op = ops.pop() 
          
        values.append(performOp(val1, val2, op)) 
      
    # Top of 'values' contains result, return it. 
    return values[-1]"
25196,,2x + 4 = 10,
25217,,"[2, 3, 5, 8]","[4, 9, 25, 64]"
25234,,8+6,14
25250,,,400m2
25256,,"3, -9, 7, 4","-9, 3, 4, 7"
25305,,,23.5
25318,,,"(0.707, 0.707)"
25319,,24,
25332,,,"8, 9, 10, 11."
25336,,"284, 252",
25359,,"2, 4, 7, 11, 16",
25385,,,1
25419,,17,
25476,,,"""""""
Code to reverse a given string
""""""

def reverse_string(string): 
    reversed_string = string[::-1] 
    print (reversed_string) 
    
if __name__ == '__main__': 
    reverse_string(""Programming"")"
25491,,"6, 3",6 - 3 = 3
25540,,,5 x 50 = 250
25548,,"10, 65, 8, 22, 15",
25639,,"def add_two_numbers(a, b):
    return a + b",
25642,,,"for i in range(1, 11):
    for j in range(1, 11):
        print(f'{i} x {j} = {i*j}')
    print()"
25658,,,"#include <iostream> 
  
int main() 
{ 
    int n1 = 0, n2 = 1, n3, i, number; 
  
    std::cout << ""Enter the number of elements: ""; 
    std::cin >> number; 
    std::cout << n1 << "" "" << n2 << "" ""; // printing 0 and 1 
  
    for (i = 2; i < number; ++i) // loop starts from 2 because 0 and 1 are already printed 
    { 
        n3 = n1 + n2; 
            std::cout << n3 << "" ""; 
            n1 = n2; 
            n2 = n3; 
    } 
    return 0; 
}"
25672,,,"def decimal_to_binary(num):
    binary = bin(num)
    binary = binary[2:]
    return binary
    
decimal_to_binary(20) # Output: '10100'"
25680,,,10001001.
25682,,8x7y+3,(8x)(7y) + 3
25722,,"2, 3, 6, 23",
25725,,1990s,
25752,,,37
25774,,,"public class MyProgram {
    public static void main(String[] args) {
        System.out.println(""Hello World!"");
    }
}"
25806,,"3, 8, 10",3 + 8 x 10
25857,,"[5, 15, 17, 20, 39]","[0.5, 1.5, 1.7, 2.0, 3.9]"
25862,,"[1,2,3,4]","// Function to double each element in an array
function doubleArray(arr) {
  //Loop over each element in the array
  for (var i = 0; i < arr.length; i++) {
    //Double the element
    arr[i] = arr[i] * 2;
  }
  //Return the modified array
  return arr;
}"
25880,,,"def celsius_to_fahrenheit(temp_celsius):
    temp_fahrenheit = (temp_celsius * 1.8) + 32
    return temp_fahrenheit"
25935,,,"[1, 2, 3, 4, 5, 6]"
25936,,,"class Airplane: 
    def __init__(self, model, capacity, speed): 
        self.model = model 
        self.capacity = capacity 
        self.speed = speed 
        
    def increase_speed(self, increment): 
        self.speed += increment 
        
    def decrease_speed(self, decrement): 
        self.speed -= decrement"
25940,,"[5, 10, 15, 20]",
25942,,"def someFunction():
    print('Hello')",
25943,,,"def is_sorted_asc(list):
    for i in range(len(list) - 1):
        if list[i] > list[i + 1]:
            return False
    return True"
25944,,"[1,7,9,11,12,14,18,21]",
25968,,"(-2,5) (2,-3)",
25975,,,"//Prints a multiplication table of size n 
void printMultiplicationTable(int n) 
{ 
    // loop to print n rows 
    for (int i = 1; i <= n; i++) 
    { 
        // loop to print n columns 
        // changing column value j  
        for (int j = 1; j <= n; j++) 
        { 
            // printing table values  
            // writing jth values of ith row            
            System.out.print(i*j + ""   "");  
        } 
        // inceasing row value i 
        // for next row 
        System.out.println();  
    } 
}"
25998,,"<html>
  <head>
    <title>My web page</title>
  </head>
  <body>
    <p>This is my web page.</p>
  </body>
</html>",
25999,,"A = 4, B = 9, C = 8",
26001,,a - (b + c),a b c + -
26002,,,"if (number > 10):
    return ""Greater than 10""
else:
    return ""Less than 10"""
26004,,,"for num in range(2, 8):
    if num % 2 != 0:
        print(num)"
26016,,"def greet_to():
    print(""Hello!"")","def greet_to(name):
    name = str(name)
    print(""Hello, "" + name + ""!"")"
26035,,,720
26045,,x = 5,
26049,,,10/15/2021
26061,,"12, 18, 7, 5, 25","5, 7, 12, 18, 25"
26137,,y = 4x + 2,4x - y + 2 = 0
26154,,"145, 156, 400, 454",
26156,,,"for i in range(1,51):
    if i%2 != 0:
        print(i)"
26186,,,"import theano 
import theano.tensor as T

# define model parameters
W = theano.shared(value = 0.5, name = 'W')
b = theano.shared(value = 0.25, name = 'b')

# define input and output
x = T.dscalar('x')
y_hat = W * x + b 
    
# compile a prediction function
predict = theano.function(inputs=[x], outputs=y_hat)

# make the prediction
pred_sales = predict(target_variable)
print('Predicted sales: ', pred_sales)"
26209,,"def quick_sort(arr): 
    if len(arr) <= 1: 
        return arr 
    else: 
        return quick_sort([x for x in arr[1:] if x < arr[0]]) + [arr[0]] + quick_sort([x for x in arr[1:] if x >= arr[0]])",
26212,,"3, 4, 1, 6, 8",
26231,,,"<div class=""container"">
  <div class=""row"">
    <div class=""col-md-6"">
      <div class=""main-content"">
        <!-- main content goes here -->
      </div>
    </div>
    <div class=""col-md-6 sidebar-container"">
      <div class=""sidebar-content"">
        <!-- sidebar content goes here -->
      </div>
    </div>
  </div>
</div>"
26242,,"8, 12",
26270,,,71593
26275,,"2, 4, 6","#include <iostream>
 
int main()
{
    int num1 = 2;
    int num2 = 4;
    int num3 = 6;
    int sum = num1 + num2 + num3;
 
    std::cout << ""The sum of 2, 4 and 6 is: "" << sum << std::endl;
 
    return 0;
}"
26323,,,6.
26337,,,"0, 3, 6, 9, 12, 15, 18, 21, 24, 27"
26338,,,"for item in sequence: 
    statements(s)"
26339,,,"def get_roman_numeral(number):
    if number == 1:
        return ""I""
    elif number == 2:
        return ""II""
    elif number == 3:
        return ""III""
    elif number == 4:
        return ""IV""
    elif number == 5:
        return ""V""
    elif number == 6:
        return ""VI""
    elif number == 7:
        return ""VII""
    elif number == 8:
        return ""VIII""
    elif number == 9:
        return ""IX""
    elif number == 10:
        return ""X"""
26340,,"1, 7, 4, 11, 6","1, 4, 6, 7, 11"
26342,,,2
26344,,,40
26348,,,"""""""
Function to remove all punctuation from a given sentence
""""""

def remove_punctuation(sentence): 
    punctuations = ',;:”!'
    for x in sentence: 
        if x in punctuations: 
            sentence = sentence.replace(x, """") 
    return sentence

if __name__ == ""__main__"": 
 
    print(remove_punctuation(""I'm going to the store, see you there!"")) # Output: Im going to the store see you there"
26349,,,"""""""
CSS code to create a divider line on a page
""""""

.divider {
    width: 100%;
    height: 2px;
    border-top: 1px solid #ccc;
    margin: 10px 0;
}"
26350,,,"""""""
Make an API call to the given URL and print the output in the console
""""""

import requests 

url = ""https://data.cityofnewyork.us/resource/fhrw-4uyv.json"" 
response = requests.get(url) 

if response.status_code == 200: 
    data = response.json() 
    print(data)"
26369,,,"[
    { key: 'dog', value: '' },
    { key: 'cat', value: '' },
    { key: 'horse', value: '' },
    { key: 'bird', value: '' }
]"
26374,,,"import string

# define a function to remove punctuation from a text data string
def rem_punct(text):
    no_punct = """"
    for char in text:
        if char not in string.punctuation:
            no_punct = no_punct + char
    return no_punct

# define a function for counting number of words in a text data string
def word_count(words):
    count = 0
    for word in words.split():
        count+=1
    return count

# define a function for calculating the average length of words
def avg_word_length(words):
    count = 0
    total_length = 0
    for word in words.split():
        total_length += len(word)
        count+=1
    return total_length/count"
26583,,,"def classify_by_color(objects):
    classified = {'red': [], 'yellow': [], 'black': []}
    for object in objects:
        name, color = object.split(' (')
        color = color[:-1]  # remove trailing )
        classified[color].append(name)
    return classified"
26584,,"[6, 2, 8, 3, 1, 2]","def sort(nums):
    for i in range(len(nums)-1):
        min_index = i
        for j in range(i+1, len(nums)):
            if nums[min_index] > nums[j]:
                min_index = j
        nums[i], nums[min_index] = nums[min_index], nums[i]
    return nums"
26585,,,"def height(root): 
    if root is None: 
        return 0 
    else: 
        # Compute the depth of each subtree 
        left_depth = height(root.left) 
        right_depth = height(root.right) 
        #  Use the larger one 
        return max(left_depth, right_depth) + 1"
26587,,"[1, 2, 3, 4, 5, 6]",6
26588,,,"def subtract_matrices(matrix1, matrix2):
    if len(matrix1) != len(matrix2) or len(matrix1[0]) != len(matrix2[0]):
        print('Error! Cannot subtract two matrices of different sizes!')
        return None 
    result = [[matrix1[i][j] - matrix2[i][j] 
              for j in range(len(matrix1[0]))] 
              for i in range(len(matrix1))] 
  
    return result"
26603,,,3.169925001442312
26643,,123456,
26654,,"```python
if x < y
    print('x is smaller than y')
  else:
    print('x is larger than y')
```","```python
if x < y:
    print('x is smaller than y')
else:
    print('x is larger than y')
```"
26657,,"```python
nums = [4, 8, 9, 15]
for num in range(1, nums):
    print(num)
```","```python
nums = [4, 8, 9, 15]
for num in nums:
    print(num)
```"
26675,,,"import smtplib

# Establish a secure session with gmail's outgoing SMTP server 
# using your gmail account
server = smtplib.SMTP(""smtp.gmail.com"", 587)
server.starttls()
server.login('my_gmail_address@gmail.com', 'my_password')

# Send text message through SMS gateway of destination number
def send_sms(number, message):
    server.sendmail(
      'my_gmail_address@gmail.com',
      number,
      message
    )

def send_emails():
    # Set destination numbers
    numbers = ['1111111111']
      
    # Set content of the text message
    message = ""This is an automated message sent via email.""
    
    # send each SMS
    for number in numbers:
        send_sms(number, message)

# calling the main block
if __name__ == '__main__':
    send_emails()"
26770,,,23
26771,,"2, 5, 6, 7, 9",
26795,,,"def mayan_calendar(year):
    base_date = 1518 #representation of Dec 21, 2012 in Gregorian calendar
    days_in_year = 365 #days in a year
    cycles_in_year = 5 #Mayan calendar has 5 cycles of 260 days per year
    diff = year - base_date 
    mayan_year = diff*cycles_in_year
    return mayan_year"
26797,,,"def design_chessboard(size):
    """"""
    This function creates a chessboard of the specified size
    """"""
    board = []
    # Create the board with alternating colors
    for i in range(size):
        row = []
        for j in range(size):
            if (i+j) % 2 == 0:
                row.append(""BLK"")
            else:
                row.append(""WHT"")
        board.append(row)
    return board"
26833,,,1260
26844,,,"{
  ""books"": {
    ""book"": {
      ""title"": ""Alice in Wonderland"",
      ""author"": ""Lewis Carroll"",
      ""price"": 14.99
    }
  }
}"
26848,,7 x 9,7 + 7 + 7 + 7 + 7 + 7 + 7 + 7 + 7 = 9 x 7
26895,,"[-3, -7, 4, 8, -2]","[-7, -3, -2, 4, 8]"
26914,,,"def Fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"")  
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c
            print(c)
        return b 
  
# Driver Program 
  
print(Fibonacci(20))"
26947,,"def calculate_distance(x1, y1, x2, y2):
    return((x2-x1)**2 + (y2-y1)**2)**0.5",
26955,,,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679
26965,,,"1 2 3 4 5 6 7 8 9 10
2 4 6 8 10 12 14 16 18 20
3 6 9 12 15 18 21 24 27 30
4 8 12 16 20 24 28 32 36 40
5 10 15 20 25 30 35 40 45 50
6 12 18 24 30 36 42 48 54 60
7 14 21 28 35 42 49 56 63 70
8 16 24 32 40 48 56 64 72 80
9 18 27 36 45 54 63 72 81 90
10 20 30 40 50 60 70 80 90 100"
26966,,3 * (5 - 4),3x - 3
26997,,,3548.
27001,,,"def findHCF(a,b): 
      
    if(b == 0): 
        return a 
    else: 
        return findHCF(b, a%b) 
    
a = int (input(""Enter first number : "")) 
b = int (input(""Enter second number : "")) 

print(""The H.C.F. is"", findHCF(a, b))"
27004,,,5462
27007,,,"#include <iostream>
using namespace std; 

int main() 
{ 
    int num; 
    cout << ""Enter a number: ""; 
    cin >> num; 
    cout << ""Square of "" << num << "" is "" << num * num << endl; 
  
    return 0; 
}"
27071,,,"def list_sum(sample_list):
    total = 0
    for num in sample_list:
        total += num
    return total

print(list_sum(sample_list))"
27092,,,0.6
27093,,,6
27098,,,"def product(num1, num2):
    return num1 * num2"
27109,,,5678
27117,,,23.
27166,,,"def calculateFactorial(n: int) -> int: 
    '''Returns the factorial of n (n!)

    Parameters:
        n (int): the number to calculate the factorial for.

    Returns:
        int: the factorial of n (n!)
    '''
    # base case: 0! = 1
    if n == 0: 
        return 1
    # recursive case: n! = n * (n - 1)!
    else: 
        return n * calculateFactorial(n-1)"
27188,,"2, 4, 8, 16","32, 64, 128"
27208,,"def sum_squares(num: int)
    total = 0
    For i in num
        total = total + i * i
    return total","def sum_squares(num: int):
    total = 0
    for i in num:
        total = total + i * i
    return total"
27210,,,"The algorithm should loop through the two integers and add the corresponding digits, keeping track of the carry.

def add_integers(int1, int2): 
  result = """" # initialize result string 
  carry = 0 # set carry to 0 
  # loop through the two integers 
  for i in range(max(len(int1), len(int2))): 
    sum = carry 
    # loop through each digits of integer1 
    if i < len(int1): 
      sum += int(int1[i]) 
    # loop through each digits of integer2 
    if i < len(int2): 
      sum += int(int2[i]) 
    result += str(sum % 10) # store the result in result string 
    carry = sum // 10 # compute the carry 
 
  if carry: 
    result += str(carry) 
 
  return result"
27213,,,52.
27217,,,10.
27235,,,7
27319,,"[4, 7, 3, 6, 8, 9, 10, 1]","1, 3, 4, 6, 7, 8, 9, 10."
27327,,,1
27330,,,6x + 7
27354,,,"2 x 2 = 4
2 x 3 = 6
2 x 4 = 8
2 x 5 = 10
2 x 6 = 12
2 x 7 = 14
2 x 8 = 16
2 x 9 = 18
2 x 10 = 20

3 x 2 = 6
3 x 3 = 9
3 x 4 = 12
3 x 5 = 15
3 x 6 = 18
3 x 7 = 21
3 x 8 = 24
3 x 9 = 27
3 x 10 = 30

4 x 2 = 8
4 x 3 = 12
4 x 4 = 16
4 x 5 = 20
4 x 6 = 24
4 x 7 = 28
4 x 8 = 32
4 x 9 = 36
4 x 10 = 40

5 x 2 = 10
5 x 3 = 15
5 x 4 = 20
5 x 5 = 25
5 x 6 = 30
5 x 7 = 35
5 x 8 = 40
5 x 9 = 45
5 x 10 = 50

6 x 2 = 12
6 x 3 = 18
6 x 4 = 24
6 x 5 = 30
6 x 6 = 36
6 x 7 = 42
6 x 8 = 48
6 x 9 = 54
6 x 10 = 60

7 x 2 = 14
7 x 3 = 21
7 x 4 = 28
7 x 5 = 35
7 x 6 = 42
7 x 7 = 49
7 x 8 = 56
7 x 9 = 63
7 x 10 = 70

8 x 2 = 16
8 x 3 = 24
8 x 4 = 32
8 x 5 = 40
8 x 6 = 48
8 x 7 = 56
8 x 8 = 64
8 x 9 = 72
8 x 10 = 80

9 x 2 = 18
9 x 3 = 27
9 x 4 = 36
9 x 5 = 45
9 x 6 = 54
9 x 7 = 63
9 x 8 = 72
9 x 9 = 81
9 x 10 = 90

10 x 2 = 20
10 x 3 = 30
10 x 4 = 40
10 x 5 = 50
10 x 6 = 60
10 x 7 = 70
10 x 8 = 80
10 x 9 = 90
10 x 10 = 100"
27371,,2/5,
27386,,5,
27407,,,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100."
27412,,"5, 8, 4, 7, 1",5
27423,,,(800) 561-3524
27427,,,12
27442,,"2, 4, 6, 8",6
27445,,,F = (C * 9/5) + 32
27479,,"1, 2  8, 7",
27485,,"2, 4, 8",
27517,,"[1, 2, 3, 4, 5]","#include <stdio.h>

int main() 
{ 
    int arr[5] = {1, 2, 3, 4, 5}; 
  
    // Print the list in reverse order 
    for (int i = 4; i >= 0; i--) 
        printf(""%d\n"", arr[i]); 
  
    return 0; 
}"
27539,,"def get_area(length, width):
    # TODO: calculate the area and return it
    print(""length: %d\nwidth: %d"" % (length, width))
    area = length * width","def get_area(length, width):
    area = length * width
    return area"
27562,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
27566,,"{
  ""items"": [
    {
      ""name"": ""iPhone"",
      ""price"": 500
    },
    {
      ""name"": ""iPad"",
      ""price"": 800
    }
  ]
}",
27612,,8 + 8,
27636,,n = 10,"def find_prime_numbers(n):
    primes = []
    
    for i in range(2, n + 1):
        is_prime = True
        for j in range(2, i):
            if i % j == 0:
                is_prime = False
                break
        if is_prime:
            primes.append(i)
    
    return primes"
27639,,,"# Program to print all prime numbers in the given range 
start = 5
end = 15
  
for i in range(start, end + 1): 
    for j in range(2, i): 
        if (i % j) == 0: 
            break
    else: 
        print(i) 

# Output:
5
7
11
13"
27646,,,"for item in list:
    print(item)"
27665,,"2, 4, 7",
27671,,"def binary_search(list, target):
  lower = 0 
  upper = len(list) - 1
    
  while lower <= upper: 
    mid = (lower + upper) // 2  # Floor Division
    guess = list[mid]
    if guess == target:
      return mid
    if guess > target:
      upper = mid - 1
    else: 
      lower = mid + 1
 
  return None",
27698,,,"<html>
<head>
  <title>Library</title>
</head>
<body>
  <h1>Welcome to the Online Library!</h1>
  <div class=""container"">
    <div class=""row"">
      <div class=""col-sm-4"">
        <h2>Browse Categories</h2>
        <ul>
          <li><a href=""books.html"">Books</a></li>
          <li><a href=""magazines.html"">Magazines</a></li>
          <li><a href=""journals.html"">Journals</a></li>
          <li><a href=""movies.html"">Movies</a></li>
        </ul>
      </div>
      <div class=""col-sm-8"">
        <h2>New Releases</h2>
        <ul>
          <li><a href=""book1.html"">Book 1</a></li>
          <li><a href=""magazine1.html"">Magazine 1</a></li>
          <li><a href=""journal1.html"">Journal 1</a></li>
          <li><a href=""movie1.html"">Movie 1</a></li>
        </ul>
      </div>
    </div>
  </div>
</body>
</html>"
27699,,,"<html>
<head>
  <title>Table Page</title>
</head>
<body>
  <h1>Table</h1>
  <table>
  <tr>
    <th>Country</th>
    <th>Capital</th> 
  </tr>
  <tr>
    <td>United States</td>
    <td>Washington D.C.</td>
  </tr>
  <tr>
    <td>France</td>
    <td>Paris</td>
  </tr>
  <tr>
    <td>Japan</td>
    <td>Tokyo</td>
  </tr>
  </table>
</body>
</html>"
27710,,"38, 12, -5, 1, 59","-5, 1, 12, 38, 59"
27720,,2x+3y=7,
27736,,2+2,
27769,,"[5, 2, 8, 17]",32
27839,,,"1. 4298 1132 3456 4582 
2. 2345 4423 4489 1017 
3. 3421 8978 4021 4010"
27902,,,0111111100101110101111000001010111110100110110011100100100100100100100100100100100100100100100100110100101010
27929,,"8, 4, 7, 7, 5, 2, 10",
27944,,123,
27959,,"[3, 8, 5, 4, 1, 9, 7]",
27987,,25,77
27988,,2y + 6 =10,
27997,,,"(-3, 4)"
28001,,,22.5
28048,,"2, 3, 4, 7",
28073,,"def power_of_two(x):
    if x > 0:
        return x * power_of_two(x-1)
    else:
        return 1","public static int powerOfTwo(int x) {
    if (x > 0) {
        return x * powerOfTwo(x-1);
    }
    return 1;
}"
28157,,,"def add_vector(v1, v2):
    if len(v1) != len(v2):
        raise Exception(""Vectors are of different lengths"")
    result = []
    for i in range(len(v1)):
        result.append(v1[i] + v2[i])
    return result"
28181,,"[1, 2, 3, 4, 5, 6, 7, 8]","const evenNumberArray = (array) => {
    let newArray = [];
    for (let i = 0; i < array.length; i++) {
        const num = array[i];
        if (num % 2 === 0) {
            newArray.push(num);
        }
    }
    return newArray;
}
 
const array = [1, 2, 3, 4, 5, 6, 7, 8];

console.log(evenNumberArray(array)); // Output: [2, 4, 6, 8]"
