ID,ORIGINAL,TOTAL_TOKENS
45718out,"Os biscoitos são lanches pequenos e saborosos que vêm em todos os formatos, tamanhos e sabores. O giz é uma substância barata, semelhante a poeira, popularmente usada em quadros negros e calçadas. A tinta é um tipo de meio líquido composto por um pigmento, um aglutinante e um solvente usado para adicionar cores brilhantes e acabamentos interessantes a diversas superfícies.",134
45721out,"Monalisa, de Leonardo da Vinci, apresenta uma mulher serena com um sorriso misterioso e conhecedor que cativou gerações de amantes da arte.",53
45737out,Uma pedra que rola não junta musgo.,17
45818out,"Console.WriteLine(""Olá Mundo"");",13
46142out,"imprimir(""Olá mundo"")",12
46489out,"O termo ""cisne negro"" é frequentemente usado como uma metáfora para descrever um evento ou ocorrência que é altamente improvável, mas tem um impacto massivo e inesperado. É usado para nos lembrar que tais eventos, embora raros, podem ocorrer e ocorrem e devem ser preparados, mesmo que essa probabilidade pareça pequena.",118
46604out,Ele estava andando até a loja.,14
46779out,A ligeira raposa marrom saltou sobre o cão preguiçoso.,23
47066out,Eu sou um estudante.,11
47264out,Duas espécies de plantas ameaçadas de extinção incluem a flor-de-macaco-de-Santa-Bárbara e a margarida-de-árvore-de-Tongariro. Duas espécies de animais ameaçadas de extinção incluem o tigre-de-Sumatra e o rinoceronte-negro.,100
47430out,O sentimento da frase é negativo.,14
47456out,O gato sentou-se no tapete.,14
47591out,Eu quero ir a loja.,12
47614out,Nenhum preconceito foi detectado.,14
47750out,Esta frase é uma afirmação.,16
47892out,Foi um belo dia.,12
47957out,"O Telescópio Espacial Hubble é um telescópio espacial lançado em 1990 e é a espaçonave de observação mais longeva e bem-sucedida já lançada. Permitiu algumas das observações mais detalhadas e precisas já feitas de objetos astronômicos distantes, como galáxias e quasares, desempenhando um papel crítico no estudo da matéria escura, dos buracos negros e da expansão do universo.",143
48209out,Triângulo retângulo.,12
48215out,A porta foi aberta por ele.,14
48762out,"""A educação é a chave para o sucesso.""",19
49019out,Nenhum viés desse tipo foi detectado.,17
49049out,Sentença declarativa.,10
49162out,"Console.WriteLine(""Olá Mundo"");",13
49203out,Ela está indo para a loja.,13
49306out,Sentimento negativo.,10
49378out,Ela fê-lo.,10
49559out,"Um buraco negro é uma região do espaço onde a gravidade é tão intensa que nada, nem mesmo a luz, consegue escapar da sua atração. Eles são formados quando uma grande estrela morre e colapsa sobre si mesma, formando um objeto incrivelmente denso, muito menor que seu tamanho original.",107
49573out,"""A solidão expressa a dor de estar sozinho e a solidão expressa a glória de estar sozinho."" -Paul Tillich",39
49652out,"1. Leão
2. Elefante Africano
3. Girafa
4. Cão Selvagem Africano
5. Rinoceronte Negro",38
49740out,A capital da França é Paris.,11
49777out,Sem saída,7
49780out,Sem saída,7
49781out,Sem saída,7
49783out,Sem saída,7
49784out,Sem saída,7
49824out,Estou ansioso para ouvir de você em breve.,19
49932out,"Paris, França",7
49933out,"Berlim, Alemanha",9
50120out,SELECT * FROM nome_tabela;,12
50341out,"(1) “É um ótimo dia”, disse ele. (2) ""Com certeza"", ela concordou, aproveitando o sol brilhante. (3) Ele sentiu o calor do sol no rosto e sorriu, pensando em todas as possibilidades.",82
50421out,"Mercúrio, Vênus, Terra, Marte, Júpiter, Saturno, Urano, Netuno",30
50564out,"1. O Silêncio dos Inocentes 
2. Ilha do Obturador 
3. Psicopata 
4. Cisne Negro 
5. Lembrança",48
50752out,Ele correu para a loja.,12
50829out,A menina pintou com pincel à tarde.,16
50848out,Sentimento negativo.,10
50916out,"A contração de ""eles são"" é ""eles são"".",21
51047out,Sentimento: Positivo,10
51149out,Sentença declarativa.,10
51210out,O triângulo é um triângulo retângulo.,19
51220out,Sequóia,6
51406out,"Um buraco negro é uma região do espaço-tempo onde a gravidade é tão forte que nada, nem mesmo a luz, consegue escapar da sua atração. É formado quando uma estrela massiva morre e colapsa sobre si mesma, criando uma área de densidade infinita e um horizonte de eventos que marca o ponto em que qualquer matéria ou luz que entra não pode escapar.",131
51671out,"""Se na primeira vez você não conseguir, tente, tente novamente.""",29
51675out,Sentença declarativa,9
51716out,"Olá, como vai?",11
51753out,Esta afirmação é uma opinião.,17
51786out,A capital da Índia é Nova Delhi.,14
51979out,Sentimento positivo.,9
